contentsId,contents,name,location,explanation,contentGroup,categoty
1,봄날 (Spring Day) MV,일영역,경기 양주시,"뮤직비디오 도입부, 뷔가 눈 내린 기차역에 서 있는 장면.",BTS,k-pop
2,YOU NEVER WALK ALONE,향호해변 버스정류장,강원 강릉시 (주문진),앨범 재킷 촬영 장소. 실제 버스 정류장은 아니었으나 관광객을 위해 복원됨.,BTS,k-pop
3,SAVE ME MV,새만금 간척지,전북 부안군,광활한 들판 위에서 원테이크로 군무를 촬영한 장소.,BTS,k-pop
4,EPILOGUE: Young Forever MV,모산 비행장,충북 제천시,멤버들이 활주로를 따라 걷는 장면이 나옵니다. 현재는 시민공원으로 활용 중.,BTS,k-pop
5,화양연화 prologue MV,경정항,경북 영덕군,뷔가 바다로 뛰어내리는 장면 등 강렬한 인상을 남긴 바닷가.,BTS,k-pop
6,화양연화 INTRO: I NEED U MV,서울대 폐수영장,서울 관악구,멤버들이 불안한 청춘의 모습을 보여주는 장소 중 하나. (현재는 복합문화공간으로 재생 논의 중),BTS,k-pop
7,RUN MV,능내 터널,경기 남양주시 (추정),멤버들이 달리는 장면 등에 등장. 타일 벽이 특징적.,BTS,k-pop
8,LOVE YOURSELF: Her (티저/화보),동작대교,서울 동작구,뷔의 콘셉트 포토가 촬영된 한강 위의 다리.,BTS,k-pop
9,IDOL / Mikrokosmos,경복궁,서울 종로구,NBC '더 투나잇 쇼' 공연 영상 촬영지. 한국 전통 건축물의 아름다움을 세계에 알림.,BTS,k-pop
10,대취타 (Daechwita) MV,용인 대장금 파크,경기 용인시,조선시대 궁궐 및 거리 세트장. 슈가가 왕의 모습으로 등장하는 장면 촬영.,BTS,k-pop
11,Not Today,옛 연초제조창,충북 청주시," 'Not Today' 뮤직비디오 촬영지입니다. 현재는 문화 공간으로 탈바꿈했습니다.",BTS,k-pop
12,앨범/화보 촬영,맹방해변,강원 삼척시,"Butter' 싱글 앨범 재킷 및 콘셉트 포토 촬영지. 사진 속 의자, 파라솔 등을 재현한 포토존이 유명합니다.",BTS,k-pop
13,앨범/화보 촬영,우음도,경기 화성시,화양연화 on stage : prologue' VCR과 사진 촬영지. 버려진 듯한 나무 한 그루가 인상적입니다.,BTS,k-pop
14,자체 예능 (달방),용마랜드,서울 중랑구,폐장된 놀이공원. 'RUN' MV와 '달려라 방탄' 등 다양한 콘텐츠 촬영에 사용되어 독특한 분위기를 연출합니다.,BTS,k-pop
15,자체 예능 (인더숲),평창 레스트리 리솜,강원 평창군,"인더숲(In The Soop) BTS편' 촬영지 중 한 곳. 자연 속 힐링 콘셉트로 유명하며, 숲속에서 휴식을 취하는 장면을 촬영했습니다.",BTS,k-pop
16,자체 예능 (인더숲),아일랜드 리솜,충남 태안군,인더숲(In The Soop) BTS편' 촬영지 중 한 곳. 바닷가 리조트에서 멤버들이 시간을 보낸 곳입니다.,BTS,k-pop
17,화보/리얼리티,아원 고택,전북 완주군,2019 서머패키지 인 코리아' 화보 및 영상 촬영지. 250년 된 한옥과 현대 건축이 어우러진 복합문화공간입니다.,BTS,k-pop
